2018-12-19 12:35:10.985 +0900 - error: uncaughtException: ex is not defined date=Wed Dec 19 2018 12:35:10 GMT+0900 (GMT+09:00), pid=476, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=33857536, heapTotal=19644416, heapUsed=12061560, external=448609, loadavg=[0, 0, 0], uptime=11187, trace=[column=15, file=5)\apiApp.js, function=apiApp.initHttpServer (C:\project\working\wsmw (4), line=66, method=initHttpServer (C:\project\working\wsmw (4), native=false, column=7, file=5)\apiApp.js, function=apiApp.onReady (C:\project\working\wsmw (4), line=34, method=onReady (C:\project\working\wsmw (4), native=false, column=5, file=5)\openApiServer.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=5, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false, column=12, file=internal/modules/cjs/loader.js, function=tryModuleLoad, line=537, method=null, native=false, column=3, file=internal/modules/cjs/loader.js, function=Module._load, line=529, method=_load, native=false, column=12, file=internal/modules/cjs/loader.js, function=Module.runMain, line=741, method=runMain, native=false, column=19, file=internal/bootstrap/node.js, function=startup, line=285, method=null, native=false], stack=[ReferenceError: ex is not defined,     at apiApp.initHttpServer (C:\project\working\wsmw (4) (5)\apiApp.js:66:15),     at apiApp.onReady (C:\project\working\wsmw (4) (5)\apiApp.js:34:7),     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\openApiServer.js:5:5),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32),     at tryModuleLoad (internal/modules/cjs/loader.js:537:12),     at Function.Module._load (internal/modules/cjs/loader.js:529:3),     at Function.Module.runMain (internal/modules/cjs/loader.js:741:12),     at startup (internal/bootstrap/node.js:285:19)]
2018-12-19 12:36:16.550 +0900 - error: uncaughtException: Cannot read property 'length' of undefined date=Wed Dec 19 2018 12:36:16 GMT+0900 (GMT+09:00), pid=5156, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=34635776, heapTotal=19644416, heapUsed=12156584, external=448609, loadavg=[0, 0, 0], uptime=11252, trace=[column=49, file=5)\node_modules\path-to-regexp\index.js, function=pathtoRegexp (C:\project\working\wsmw (4), line=63, method=null, native=false, column=17, file=5)\node_modules\express\lib\router\layer.js, function=new Layer (C:\project\working\wsmw (4), line=45, method=null, native=false, column=15, file=5)\node_modules\express\lib\router\index.js, function=Function.route (C:\project\working\wsmw (4), line=494, method=route (C:\project\working\wsmw (4), native=false, column=22, file=5)\node_modules\express\lib\router\index.js, function=Function.proto.(anonymous function) [as get] (C:\project\working\wsmw (4), line=509, method=(anonymous function) [as get] (C:\project\working\wsmw (4), native=false, column=9, file=5)\apiApp.js, function=apiApp.initHttpServer (C:\project\working\wsmw (4), line=207, method=initHttpServer (C:\project\working\wsmw (4), native=false, column=7, file=5)\apiApp.js, function=apiApp.onReady (C:\project\working\wsmw (4), line=34, method=onReady (C:\project\working\wsmw (4), native=false, column=5, file=5)\openApiServer.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=5, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false], stack=[TypeError: Cannot read property 'length' of undefined,     at pathtoRegexp (C:\project\working\wsmw (4) (5)\node_modules\path-to-regexp\index.js:63:49),     at new Layer (C:\project\working\wsmw (4) (5)\node_modules\express\lib\router\layer.js:45:17),     at Function.route (C:\project\working\wsmw (4) (5)\node_modules\express\lib\router\index.js:494:15),     at Function.proto.(anonymous function) [as get] (C:\project\working\wsmw (4) (5)\node_modules\express\lib\router\index.js:509:22),     at apiApp.initHttpServer (C:\project\working\wsmw (4) (5)\apiApp.js:207:9),     at apiApp.onReady (C:\project\working\wsmw (4) (5)\apiApp.js:34:7),     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\openApiServer.js:5:5),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32)]
2018-12-19 12:37:04.486 +0900 - error: uncaughtException: Route.get() requires a callback function but got a [object Number] date=Wed Dec 19 2018 12:37:04 GMT+0900 (GMT+09:00), pid=8888, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=34643968, heapTotal=19644416, heapUsed=12138424, external=448609, loadavg=[0, 0, 0], uptime=11300, trace=[column=15, file=5)\node_modules\express\lib\router\route.js, function=Route.(anonymous function) [as get] (C:\project\working\wsmw (4), line=202, method=(anonymous function) [as get] (C:\project\working\wsmw (4), native=false, column=19, file=5)\node_modules\express\lib\router\index.js, function=Function.proto.(anonymous function) [as get] (C:\project\working\wsmw (4), line=510, method=(anonymous function) [as get] (C:\project\working\wsmw (4), native=false, column=9, file=5)\apiApp.js, function=apiApp.initHttpServer (C:\project\working\wsmw (4), line=207, method=initHttpServer (C:\project\working\wsmw (4), native=false, column=7, file=5)\apiApp.js, function=apiApp.onReady (C:\project\working\wsmw (4), line=34, method=onReady (C:\project\working\wsmw (4), native=false, column=5, file=5)\openApiServer.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=5, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false, column=12, file=internal/modules/cjs/loader.js, function=tryModuleLoad, line=537, method=null, native=false, column=3, file=internal/modules/cjs/loader.js, function=Module._load, line=529, method=_load, native=false], stack=[Error: Route.get() requires a callback function but got a [object Number],     at Route.(anonymous function) [as get] (C:\project\working\wsmw (4) (5)\node_modules\express\lib\router\route.js:202:15),     at Function.proto.(anonymous function) [as get] (C:\project\working\wsmw (4) (5)\node_modules\express\lib\router\index.js:510:19),     at apiApp.initHttpServer (C:\project\working\wsmw (4) (5)\apiApp.js:207:9),     at apiApp.onReady (C:\project\working\wsmw (4) (5)\apiApp.js:34:7),     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\openApiServer.js:5:5),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32),     at tryModuleLoad (internal/modules/cjs/loader.js:537:12),     at Function.Module._load (internal/modules/cjs/loader.js:529:3)]
2018-12-19 12:37:11.955 +0900 - error: uncaughtException: req is not defined date=Wed Dec 19 2018 12:37:11 GMT+0900 (GMT+09:00), pid=3876, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=34525184, heapTotal=19644416, heapUsed=12152936, external=448609, loadavg=[0, 0, 0], uptime=11308, trace=[column=37, file=5)\apiApp.js, function=apiApp.initHttpServer (C:\project\working\wsmw (4), line=207, method=initHttpServer (C:\project\working\wsmw (4), native=false, column=7, file=5)\apiApp.js, function=apiApp.onReady (C:\project\working\wsmw (4), line=34, method=onReady (C:\project\working\wsmw (4), native=false, column=5, file=5)\openApiServer.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=5, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false, column=12, file=internal/modules/cjs/loader.js, function=tryModuleLoad, line=537, method=null, native=false, column=3, file=internal/modules/cjs/loader.js, function=Module._load, line=529, method=_load, native=false, column=12, file=internal/modules/cjs/loader.js, function=Module.runMain, line=741, method=runMain, native=false, column=19, file=internal/bootstrap/node.js, function=startup, line=285, method=null, native=false], stack=[ReferenceError: req is not defined,     at apiApp.initHttpServer (C:\project\working\wsmw (4) (5)\apiApp.js:207:37),     at apiApp.onReady (C:\project\working\wsmw (4) (5)\apiApp.js:34:7),     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\openApiServer.js:5:5),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32),     at tryModuleLoad (internal/modules/cjs/loader.js:537:12),     at Function.Module._load (internal/modules/cjs/loader.js:529:3),     at Function.Module.runMain (internal/modules/cjs/loader.js:741:12),     at startup (internal/bootstrap/node.js:285:19)]
2018-12-19 12:37:14.847 +0900 - error: uncaughtException: req is not defined date=Wed Dec 19 2018 12:37:14 GMT+0900 (GMT+09:00), pid=8388, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=34582528, heapTotal=20692992, heapUsed=12156792, external=448609, loadavg=[0, 0, 0], uptime=11311, trace=[column=37, file=5)\apiApp.js, function=apiApp.initHttpServer (C:\project\working\wsmw (4), line=207, method=initHttpServer (C:\project\working\wsmw (4), native=false, column=7, file=5)\apiApp.js, function=apiApp.onReady (C:\project\working\wsmw (4), line=34, method=onReady (C:\project\working\wsmw (4), native=false, column=5, file=5)\openApiServer.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=5, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false, column=12, file=internal/modules/cjs/loader.js, function=tryModuleLoad, line=537, method=null, native=false, column=3, file=internal/modules/cjs/loader.js, function=Module._load, line=529, method=_load, native=false, column=12, file=internal/modules/cjs/loader.js, function=Module.runMain, line=741, method=runMain, native=false, column=19, file=internal/bootstrap/node.js, function=startup, line=285, method=null, native=false], stack=[ReferenceError: req is not defined,     at apiApp.initHttpServer (C:\project\working\wsmw (4) (5)\apiApp.js:207:37),     at apiApp.onReady (C:\project\working\wsmw (4) (5)\apiApp.js:34:7),     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\openApiServer.js:5:5),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32),     at tryModuleLoad (internal/modules/cjs/loader.js:537:12),     at Function.Module._load (internal/modules/cjs/loader.js:529:3),     at Function.Module.runMain (internal/modules/cjs/loader.js:741:12),     at startup (internal/bootstrap/node.js:285:19)]
2018-12-19 12:37:17.405 +0900 - error: uncaughtException: req is not defined date=Wed Dec 19 2018 12:37:17 GMT+0900 (GMT+09:00), pid=8188, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=34676736, heapTotal=20168704, heapUsed=12219984, external=448609, loadavg=[0, 0, 0], uptime=11313, trace=[column=37, file=5)\apiApp.js, function=apiApp.initHttpServer (C:\project\working\wsmw (4), line=207, method=initHttpServer (C:\project\working\wsmw (4), native=false, column=7, file=5)\apiApp.js, function=apiApp.onReady (C:\project\working\wsmw (4), line=34, method=onReady (C:\project\working\wsmw (4), native=false, column=5, file=5)\openApiServer.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=5, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false, column=12, file=internal/modules/cjs/loader.js, function=tryModuleLoad, line=537, method=null, native=false, column=3, file=internal/modules/cjs/loader.js, function=Module._load, line=529, method=_load, native=false, column=12, file=internal/modules/cjs/loader.js, function=Module.runMain, line=741, method=runMain, native=false, column=19, file=internal/bootstrap/node.js, function=startup, line=285, method=null, native=false], stack=[ReferenceError: req is not defined,     at apiApp.initHttpServer (C:\project\working\wsmw (4) (5)\apiApp.js:207:37),     at apiApp.onReady (C:\project\working\wsmw (4) (5)\apiApp.js:34:7),     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\openApiServer.js:5:5),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32),     at tryModuleLoad (internal/modules/cjs/loader.js:537:12),     at Function.Module._load (internal/modules/cjs/loader.js:529:3),     at Function.Module.runMain (internal/modules/cjs/loader.js:741:12),     at startup (internal/bootstrap/node.js:285:19)]
2018-12-19 12:37:20.278 +0900 - error: uncaughtException: req is not defined date=Wed Dec 19 2018 12:37:20 GMT+0900 (GMT+09:00), pid=9112, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=34603008, heapTotal=20168704, heapUsed=12153416, external=448609, loadavg=[0, 0, 0], uptime=11316, trace=[column=37, file=5)\apiApp.js, function=apiApp.initHttpServer (C:\project\working\wsmw (4), line=207, method=initHttpServer (C:\project\working\wsmw (4), native=false, column=7, file=5)\apiApp.js, function=apiApp.onReady (C:\project\working\wsmw (4), line=34, method=onReady (C:\project\working\wsmw (4), native=false, column=5, file=5)\openApiServer.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=5, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false, column=12, file=internal/modules/cjs/loader.js, function=tryModuleLoad, line=537, method=null, native=false, column=3, file=internal/modules/cjs/loader.js, function=Module._load, line=529, method=_load, native=false, column=12, file=internal/modules/cjs/loader.js, function=Module.runMain, line=741, method=runMain, native=false, column=19, file=internal/bootstrap/node.js, function=startup, line=285, method=null, native=false], stack=[ReferenceError: req is not defined,     at apiApp.initHttpServer (C:\project\working\wsmw (4) (5)\apiApp.js:207:37),     at apiApp.onReady (C:\project\working\wsmw (4) (5)\apiApp.js:34:7),     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\openApiServer.js:5:5),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32),     at tryModuleLoad (internal/modules/cjs/loader.js:537:12),     at Function.Module._load (internal/modules/cjs/loader.js:529:3),     at Function.Module.runMain (internal/modules/cjs/loader.js:741:12),     at startup (internal/bootstrap/node.js:285:19)]
2018-12-19 12:54:48.261 +0900 - error: uncaughtException: listen EADDRINUSE :::4789 date=Wed Dec 19 2018 12:54:48 GMT+0900 (GMT+09:00), pid=6648, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=35315712, heapTotal=21217280, heapUsed=10834936, external=135383, loadavg=[0, 0, 0], uptime=12364, trace=[column=14, file=net.js, function=Server.setupListenHandle [as _listen2], line=1286, method=setupListenHandle [as _listen2], native=false, column=12, file=net.js, function=listenInCluster, line=1334, method=null, native=false, column=7, file=net.js, function=Server.listen, line=1421, method=listen, native=false, column=24, file=5)\node_modules\express\lib\application.js, function=Function.listen (C:\project\working\wsmw (4), line=618, method=listen (C:\project\working\wsmw (4), native=false, column=6, file=5)\apiApp.js, function=apiApp.initHttpServer (C:\project\working\wsmw (4), line=73, method=initHttpServer (C:\project\working\wsmw (4), native=false, column=7, file=5)\apiApp.js, function=apiApp.onReady (C:\project\working\wsmw (4), line=34, method=onReady (C:\project\working\wsmw (4), native=false, column=5, file=5)\openApiServer.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=5, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false], stack=[Error: listen EADDRINUSE :::4789,     at Server.setupListenHandle [as _listen2] (net.js:1286:14),     at listenInCluster (net.js:1334:12),     at Server.listen (net.js:1421:7),     at Function.listen (C:\project\working\wsmw (4) (5)\node_modules\express\lib\application.js:618:24),     at apiApp.initHttpServer (C:\project\working\wsmw (4) (5)\apiApp.js:73:6),     at apiApp.onReady (C:\project\working\wsmw (4) (5)\apiApp.js:34:7),     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\openApiServer.js:5:5),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32)]
2018-12-19 12:54:52.365 +0900 - error: uncaughtException: You must specify an httpServer on which to mount the WebSocket server. date=Wed Dec 19 2018 12:54:52 GMT+0900 (GMT+09:00), pid=8232, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=35250176, heapTotal=21217280, heapUsed=10781256, external=135383, loadavg=[0, 0, 0], uptime=12368, trace=[column=15, file=5)\node_modules\websocket\lib\WebSocketServer.js, function=WebSocketServer.mount (C:\project\working\wsmw (4), line=144, method=mount (C:\project\working\wsmw (4), native=false, column=14, file=5)\node_modules\websocket\lib\WebSocketServer.js, function=new WebSocketServer (C:\project\working\wsmw (4), line=36, method=null, native=false, column=18, file=5)\apiApp.js, function=apiApp.initWebsocketServer (C:\project\working\wsmw (4), line=637, method=initWebsocketServer (C:\project\working\wsmw (4), native=false, column=7, file=5)\apiApp.js, function=apiApp.onReady (C:\project\working\wsmw (4), line=35, method=onReady (C:\project\working\wsmw (4), native=false, column=5, file=5)\openApiServer.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=5, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false, column=12, file=internal/modules/cjs/loader.js, function=tryModuleLoad, line=537, method=null, native=false, column=3, file=internal/modules/cjs/loader.js, function=Module._load, line=529, method=_load, native=false], stack=[Error: You must specify an httpServer on which to mount the WebSocket server.,     at WebSocketServer.mount (C:\project\working\wsmw (4) (5)\node_modules\websocket\lib\WebSocketServer.js:144:15),     at new WebSocketServer (C:\project\working\wsmw (4) (5)\node_modules\websocket\lib\WebSocketServer.js:36:14),     at apiApp.initWebsocketServer (C:\project\working\wsmw (4) (5)\apiApp.js:637:18),     at apiApp.onReady (C:\project\working\wsmw (4) (5)\apiApp.js:35:7),     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\openApiServer.js:5:5),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32),     at tryModuleLoad (internal/modules/cjs/loader.js:537:12),     at Function.Module._load (internal/modules/cjs/loader.js:529:3)]
2018-12-19 12:55:28.886 +0900 - error: uncaughtException: listen EADDRINUSE :::4789 date=Wed Dec 19 2018 12:55:28 GMT+0900 (GMT+09:00), pid=3848, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=35401728, heapTotal=21217280, heapUsed=10866200, external=135383, loadavg=[0, 0, 0], uptime=12405, trace=[column=14, file=net.js, function=Server.setupListenHandle [as _listen2], line=1286, method=setupListenHandle [as _listen2], native=false, column=12, file=net.js, function=listenInCluster, line=1334, method=null, native=false, column=7, file=net.js, function=Server.listen, line=1421, method=listen, native=false, column=24, file=5)\node_modules\express\lib\application.js, function=Function.listen (C:\project\working\wsmw (4), line=618, method=listen (C:\project\working\wsmw (4), native=false, column=6, file=5)\apiApp.js, function=apiApp.initHttpServer (C:\project\working\wsmw (4), line=73, method=initHttpServer (C:\project\working\wsmw (4), native=false, column=7, file=5)\apiApp.js, function=apiApp.onReady (C:\project\working\wsmw (4), line=34, method=onReady (C:\project\working\wsmw (4), native=false, column=5, file=5)\openApiServer.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=5, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false], stack=[Error: listen EADDRINUSE :::4789,     at Server.setupListenHandle [as _listen2] (net.js:1286:14),     at listenInCluster (net.js:1334:12),     at Server.listen (net.js:1421:7),     at Function.listen (C:\project\working\wsmw (4) (5)\node_modules\express\lib\application.js:618:24),     at apiApp.initHttpServer (C:\project\working\wsmw (4) (5)\apiApp.js:73:6),     at apiApp.onReady (C:\project\working\wsmw (4) (5)\apiApp.js:34:7),     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\openApiServer.js:5:5),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32)]
2018-12-19 13:03:26.317 +0900 - error: uncaughtException: You must specify an httpServer on which to mount the WebSocket server. date=Wed Dec 19 2018 13:03:26 GMT+0900 (GMT+09:00), pid=6672, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=34615296, heapTotal=21741568, heapUsed=10666832, external=116803, loadavg=[0, 0, 0], uptime=12882, trace=[column=15, file=5)\node_modules\websocket\lib\WebSocketServer.js, function=WebSocketServer.mount (C:\project\working\wsmw (4), line=144, method=mount (C:\project\working\wsmw (4), native=false, column=14, file=5)\node_modules\websocket\lib\WebSocketServer.js, function=new WebSocketServer (C:\project\working\wsmw (4), line=36, method=null, native=false, column=18, file=5)\apiApp.js, function=apiApp.initWebsocketServer (C:\project\working\wsmw (4), line=604, method=initWebsocketServer (C:\project\working\wsmw (4), native=false, column=7, file=5)\apiApp.js, function=apiApp.onReady (C:\project\working\wsmw (4), line=35, method=onReady (C:\project\working\wsmw (4), native=false, column=5, file=5)\openApiServer.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=5, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false, column=12, file=internal/modules/cjs/loader.js, function=tryModuleLoad, line=537, method=null, native=false, column=3, file=internal/modules/cjs/loader.js, function=Module._load, line=529, method=_load, native=false], stack=[Error: You must specify an httpServer on which to mount the WebSocket server.,     at WebSocketServer.mount (C:\project\working\wsmw (4) (5)\node_modules\websocket\lib\WebSocketServer.js:144:15),     at new WebSocketServer (C:\project\working\wsmw (4) (5)\node_modules\websocket\lib\WebSocketServer.js:36:14),     at apiApp.initWebsocketServer (C:\project\working\wsmw (4) (5)\apiApp.js:604:18),     at apiApp.onReady (C:\project\working\wsmw (4) (5)\apiApp.js:35:7),     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\openApiServer.js:5:5),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32),     at tryModuleLoad (internal/modules/cjs/loader.js:537:12),     at Function.Module._load (internal/modules/cjs/loader.js:529:3)]
