2019-01-09 13:31:58.709 +0900 - error: uncaughtException: Cannot find module 'express-http-proxy' date=Wed Jan 09 2019 13:31:58 GMT+0900 (GMT+09:00), pid=5832, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=40353792, heapTotal=33800192, heapUsed=15281360, external=66038, loadavg=[0, 0, 0], uptime=12235, trace=[column=15, file=internal/modules/cjs/loader.js, function=Module._resolveFilename, line=580, method=_resolveFilename, native=false, column=25, file=internal/modules/cjs/loader.js, function=Module._load, line=506, method=_load, native=false, column=17, file=internal/modules/cjs/loader.js, function=Module.require, line=636, method=require, native=false, column=18, file=internal/modules/cjs/helpers.js, function=require, line=20, method=null, native=false, column=14, file=5)\apiApp.js, function=apiApp.initHttpServer (C:\project\working\wsmw (4), line=83, method=initHttpServer (C:\project\working\wsmw (4), native=false, column=7, file=5)\apiApp.js, function=apiApp.onReady (C:\project\working\wsmw (4), line=34, method=onReady (C:\project\working\wsmw (4), native=false, column=5, file=5)\openApiServer.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=5, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false], stack=[Error: Cannot find module 'express-http-proxy',     at Function.Module._resolveFilename (internal/modules/cjs/loader.js:580:15),     at Function.Module._load (internal/modules/cjs/loader.js:506:25),     at Module.require (internal/modules/cjs/loader.js:636:17),     at require (internal/modules/cjs/helpers.js:20:18),     at apiApp.initHttpServer (C:\project\working\wsmw (4) (5)\apiApp.js:83:14),     at apiApp.onReady (C:\project\working\wsmw (4) (5)\apiApp.js:34:7),     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\openApiServer.js:5:5),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32)]
2019-01-09 13:50:05.811 +0900 - error: uncaughtException: app.configure is not a function date=Wed Jan 09 2019 13:50:05 GMT+0900 (GMT+09:00), pid=6624, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=40550400, heapTotal=32227328, heapUsed=15245640, external=66038, loadavg=[0, 0, 0], uptime=13322, trace=[column=8, file=5)\apiApp.js, function=apiApp.initHttpServer (C:\project\working\wsmw (4), line=112, method=initHttpServer (C:\project\working\wsmw (4), native=false, column=7, file=5)\apiApp.js, function=apiApp.onReady (C:\project\working\wsmw (4), line=34, method=onReady (C:\project\working\wsmw (4), native=false, column=5, file=5)\openApiServer.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=5, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false, column=12, file=internal/modules/cjs/loader.js, function=tryModuleLoad, line=537, method=null, native=false, column=3, file=internal/modules/cjs/loader.js, function=Module._load, line=529, method=_load, native=false, column=12, file=internal/modules/cjs/loader.js, function=Module.runMain, line=741, method=runMain, native=false, column=19, file=internal/bootstrap/node.js, function=startup, line=285, method=null, native=false], stack=[TypeError: app.configure is not a function,     at apiApp.initHttpServer (C:\project\working\wsmw (4) (5)\apiApp.js:112:8),     at apiApp.onReady (C:\project\working\wsmw (4) (5)\apiApp.js:34:7),     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\openApiServer.js:5:5),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32),     at tryModuleLoad (internal/modules/cjs/loader.js:537:12),     at Function.Module._load (internal/modules/cjs/loader.js:529:3),     at Function.Module.runMain (internal/modules/cjs/loader.js:741:12),     at startup (internal/bootstrap/node.js:285:19)]
2019-01-09 13:50:14.371 +0900 - error: uncaughtException: app.configure is not a function date=Wed Jan 09 2019 13:50:14 GMT+0900 (GMT+09:00), pid=6344, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=40415232, heapTotal=32227328, heapUsed=15214544, external=66038, loadavg=[0, 0, 0], uptime=13330, trace=[column=8, file=5)\apiApp.js, function=apiApp.initHttpServer (C:\project\working\wsmw (4), line=112, method=initHttpServer (C:\project\working\wsmw (4), native=false, column=7, file=5)\apiApp.js, function=apiApp.onReady (C:\project\working\wsmw (4), line=34, method=onReady (C:\project\working\wsmw (4), native=false, column=5, file=5)\openApiServer.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=5, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false, column=12, file=internal/modules/cjs/loader.js, function=tryModuleLoad, line=537, method=null, native=false, column=3, file=internal/modules/cjs/loader.js, function=Module._load, line=529, method=_load, native=false, column=12, file=internal/modules/cjs/loader.js, function=Module.runMain, line=741, method=runMain, native=false, column=19, file=internal/bootstrap/node.js, function=startup, line=285, method=null, native=false], stack=[TypeError: app.configure is not a function,     at apiApp.initHttpServer (C:\project\working\wsmw (4) (5)\apiApp.js:112:8),     at apiApp.onReady (C:\project\working\wsmw (4) (5)\apiApp.js:34:7),     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\openApiServer.js:5:5),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32),     at tryModuleLoad (internal/modules/cjs/loader.js:537:12),     at Function.Module._load (internal/modules/cjs/loader.js:529:3),     at Function.Module.runMain (internal/modules/cjs/loader.js:741:12),     at startup (internal/bootstrap/node.js:285:19)]
2019-01-09 13:50:16.327 +0900 - error: uncaughtException: app.configure is not a function date=Wed Jan 09 2019 13:50:16 GMT+0900 (GMT+09:00), pid=6960, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=40361984, heapTotal=32751616, heapUsed=15274680, external=66038, loadavg=[0, 0, 0], uptime=13332, trace=[column=8, file=5)\apiApp.js, function=apiApp.initHttpServer (C:\project\working\wsmw (4), line=112, method=initHttpServer (C:\project\working\wsmw (4), native=false, column=7, file=5)\apiApp.js, function=apiApp.onReady (C:\project\working\wsmw (4), line=34, method=onReady (C:\project\working\wsmw (4), native=false, column=5, file=5)\openApiServer.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=5, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false, column=12, file=internal/modules/cjs/loader.js, function=tryModuleLoad, line=537, method=null, native=false, column=3, file=internal/modules/cjs/loader.js, function=Module._load, line=529, method=_load, native=false, column=12, file=internal/modules/cjs/loader.js, function=Module.runMain, line=741, method=runMain, native=false, column=19, file=internal/bootstrap/node.js, function=startup, line=285, method=null, native=false], stack=[TypeError: app.configure is not a function,     at apiApp.initHttpServer (C:\project\working\wsmw (4) (5)\apiApp.js:112:8),     at apiApp.onReady (C:\project\working\wsmw (4) (5)\apiApp.js:34:7),     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\openApiServer.js:5:5),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32),     at tryModuleLoad (internal/modules/cjs/loader.js:537:12),     at Function.Module._load (internal/modules/cjs/loader.js:529:3),     at Function.Module.runMain (internal/modules/cjs/loader.js:741:12),     at startup (internal/bootstrap/node.js:285:19)]
2019-01-09 13:52:17.677 +0900 - error: uncaughtException: app.configure is not a function date=Wed Jan 09 2019 13:52:17 GMT+0900 (GMT+09:00), pid=6496, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=40570880, heapTotal=33275904, heapUsed=15230080, external=66038, loadavg=[0, 0, 0], uptime=13454, trace=[column=8, file=5)\apiApp.js, function=apiApp.initHttpServer (C:\project\working\wsmw (4), line=112, method=initHttpServer (C:\project\working\wsmw (4), native=false, column=7, file=5)\apiApp.js, function=apiApp.onReady (C:\project\working\wsmw (4), line=34, method=onReady (C:\project\working\wsmw (4), native=false, column=5, file=5)\openApiServer.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=5, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false, column=12, file=internal/modules/cjs/loader.js, function=tryModuleLoad, line=537, method=null, native=false, column=3, file=internal/modules/cjs/loader.js, function=Module._load, line=529, method=_load, native=false, column=12, file=internal/modules/cjs/loader.js, function=Module.runMain, line=741, method=runMain, native=false, column=19, file=internal/bootstrap/node.js, function=startup, line=285, method=null, native=false], stack=[TypeError: app.configure is not a function,     at apiApp.initHttpServer (C:\project\working\wsmw (4) (5)\apiApp.js:112:8),     at apiApp.onReady (C:\project\working\wsmw (4) (5)\apiApp.js:34:7),     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\openApiServer.js:5:5),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32),     at tryModuleLoad (internal/modules/cjs/loader.js:537:12),     at Function.Module._load (internal/modules/cjs/loader.js:529:3),     at Function.Module.runMain (internal/modules/cjs/loader.js:741:12),     at startup (internal/bootstrap/node.js:285:19)]
2019-01-09 13:52:20.657 +0900 - error: uncaughtException: app.configure is not a function date=Wed Jan 09 2019 13:52:20 GMT+0900 (GMT+09:00), pid=6960, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=40771584, heapTotal=32227328, heapUsed=15230464, external=66038, loadavg=[0, 0, 0], uptime=13457, trace=[column=6, file=5)\apiApp.js, function=apiApp.initHttpServer (C:\project\working\wsmw (4), line=112, method=initHttpServer (C:\project\working\wsmw (4), native=false, column=7, file=5)\apiApp.js, function=apiApp.onReady (C:\project\working\wsmw (4), line=34, method=onReady (C:\project\working\wsmw (4), native=false, column=5, file=5)\openApiServer.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=5, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false, column=12, file=internal/modules/cjs/loader.js, function=tryModuleLoad, line=537, method=null, native=false, column=3, file=internal/modules/cjs/loader.js, function=Module._load, line=529, method=_load, native=false, column=12, file=internal/modules/cjs/loader.js, function=Module.runMain, line=741, method=runMain, native=false, column=19, file=internal/bootstrap/node.js, function=startup, line=285, method=null, native=false], stack=[TypeError: app.configure is not a function,     at apiApp.initHttpServer (C:\project\working\wsmw (4) (5)\apiApp.js:112:6),     at apiApp.onReady (C:\project\working\wsmw (4) (5)\apiApp.js:34:7),     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\openApiServer.js:5:5),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32),     at tryModuleLoad (internal/modules/cjs/loader.js:537:12),     at Function.Module._load (internal/modules/cjs/loader.js:529:3),     at Function.Module.runMain (internal/modules/cjs/loader.js:741:12),     at startup (internal/bootstrap/node.js:285:19)]
2019-01-09 13:52:23.136 +0900 - error: uncaughtException: app.configure is not a function date=Wed Jan 09 2019 13:52:23 GMT+0900 (GMT+09:00), pid=6832, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=40615936, heapTotal=32751616, heapUsed=15205968, external=66038, loadavg=[0, 0, 0], uptime=13459, trace=[column=6, file=5)\apiApp.js, function=apiApp.initHttpServer (C:\project\working\wsmw (4), line=112, method=initHttpServer (C:\project\working\wsmw (4), native=false, column=7, file=5)\apiApp.js, function=apiApp.onReady (C:\project\working\wsmw (4), line=34, method=onReady (C:\project\working\wsmw (4), native=false, column=5, file=5)\openApiServer.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=5, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false, column=12, file=internal/modules/cjs/loader.js, function=tryModuleLoad, line=537, method=null, native=false, column=3, file=internal/modules/cjs/loader.js, function=Module._load, line=529, method=_load, native=false, column=12, file=internal/modules/cjs/loader.js, function=Module.runMain, line=741, method=runMain, native=false, column=19, file=internal/bootstrap/node.js, function=startup, line=285, method=null, native=false], stack=[TypeError: app.configure is not a function,     at apiApp.initHttpServer (C:\project\working\wsmw (4) (5)\apiApp.js:112:6),     at apiApp.onReady (C:\project\working\wsmw (4) (5)\apiApp.js:34:7),     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\openApiServer.js:5:5),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32),     at tryModuleLoad (internal/modules/cjs/loader.js:537:12),     at Function.Module._load (internal/modules/cjs/loader.js:529:3),     at Function.Module.runMain (internal/modules/cjs/loader.js:741:12),     at startup (internal/bootstrap/node.js:285:19)]
2019-01-09 13:52:40.632 +0900 - error: uncaughtException: app.configure is not a function date=Wed Jan 09 2019 13:52:40 GMT+0900 (GMT+09:00), pid=5832, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=41279488, heapTotal=32227328, heapUsed=15520208, external=83183, loadavg=[0, 0, 0], uptime=13477, trace=[column=6, file=5)\apiApp.js, function=apiApp.initHttpServer (C:\project\working\wsmw (4), line=216, method=initHttpServer (C:\project\working\wsmw (4), native=false, column=7, file=5)\apiApp.js, function=apiApp.onReady (C:\project\working\wsmw (4), line=34, method=onReady (C:\project\working\wsmw (4), native=false, column=5, file=5)\openApiServer.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=5, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false, column=12, file=internal/modules/cjs/loader.js, function=tryModuleLoad, line=537, method=null, native=false, column=3, file=internal/modules/cjs/loader.js, function=Module._load, line=529, method=_load, native=false, column=12, file=internal/modules/cjs/loader.js, function=Module.runMain, line=741, method=runMain, native=false, column=19, file=internal/bootstrap/node.js, function=startup, line=285, method=null, native=false], stack=[TypeError: app.configure is not a function,     at apiApp.initHttpServer (C:\project\working\wsmw (4) (5)\apiApp.js:216:6),     at apiApp.onReady (C:\project\working\wsmw (4) (5)\apiApp.js:34:7),     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\openApiServer.js:5:5),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32),     at tryModuleLoad (internal/modules/cjs/loader.js:537:12),     at Function.Module._load (internal/modules/cjs/loader.js:529:3),     at Function.Module.runMain (internal/modules/cjs/loader.js:741:12),     at startup (internal/bootstrap/node.js:285:19)]
2019-01-09 13:52:57.282 +0900 - error: uncaughtException: this.httpServer.configure is not a function date=Wed Jan 09 2019 13:52:57 GMT+0900 (GMT+09:00), pid=2196, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=41275392, heapTotal=32227328, heapUsed=15535312, external=83183, loadavg=[0, 0, 0], uptime=13493, trace=[column=18, file=5)\apiApp.js, function=apiApp.initHttpServer (C:\project\working\wsmw (4), line=216, method=initHttpServer (C:\project\working\wsmw (4), native=false, column=7, file=5)\apiApp.js, function=apiApp.onReady (C:\project\working\wsmw (4), line=34, method=onReady (C:\project\working\wsmw (4), native=false, column=5, file=5)\openApiServer.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=5, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false, column=12, file=internal/modules/cjs/loader.js, function=tryModuleLoad, line=537, method=null, native=false, column=3, file=internal/modules/cjs/loader.js, function=Module._load, line=529, method=_load, native=false, column=12, file=internal/modules/cjs/loader.js, function=Module.runMain, line=741, method=runMain, native=false, column=19, file=internal/bootstrap/node.js, function=startup, line=285, method=null, native=false], stack=[TypeError: this.httpServer.configure is not a function,     at apiApp.initHttpServer (C:\project\working\wsmw (4) (5)\apiApp.js:216:18),     at apiApp.onReady (C:\project\working\wsmw (4) (5)\apiApp.js:34:7),     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\openApiServer.js:5:5),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32),     at tryModuleLoad (internal/modules/cjs/loader.js:537:12),     at Function.Module._load (internal/modules/cjs/loader.js:529:3),     at Function.Module.runMain (internal/modules/cjs/loader.js:741:12),     at startup (internal/bootstrap/node.js:285:19)]
2019-01-09 13:54:44.423 +0900 - error: uncaughtException: app.configure is not a function date=Wed Jan 09 2019 13:54:44 GMT+0900 (GMT+09:00), pid=7364, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=41062400, heapTotal=32227328, heapUsed=15541784, external=83183, loadavg=[0, 0, 0], uptime=13600, trace=[column=6, file=5)\apiApp.js, function=apiApp.initHttpServer (C:\project\working\wsmw (4), line=216, method=initHttpServer (C:\project\working\wsmw (4), native=false, column=7, file=5)\apiApp.js, function=apiApp.onReady (C:\project\working\wsmw (4), line=34, method=onReady (C:\project\working\wsmw (4), native=false, column=5, file=5)\openApiServer.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=5, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false, column=12, file=internal/modules/cjs/loader.js, function=tryModuleLoad, line=537, method=null, native=false, column=3, file=internal/modules/cjs/loader.js, function=Module._load, line=529, method=_load, native=false, column=12, file=internal/modules/cjs/loader.js, function=Module.runMain, line=741, method=runMain, native=false, column=19, file=internal/bootstrap/node.js, function=startup, line=285, method=null, native=false], stack=[TypeError: app.configure is not a function,     at apiApp.initHttpServer (C:\project\working\wsmw (4) (5)\apiApp.js:216:6),     at apiApp.onReady (C:\project\working\wsmw (4) (5)\apiApp.js:34:7),     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\openApiServer.js:5:5),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32),     at tryModuleLoad (internal/modules/cjs/loader.js:537:12),     at Function.Module._load (internal/modules/cjs/loader.js:529:3),     at Function.Module.runMain (internal/modules/cjs/loader.js:741:12),     at startup (internal/bootstrap/node.js:285:19)]
2019-01-09 13:58:19.269 +0900 - error: uncaughtException: Cannot find module 'connect' date=Wed Jan 09 2019 13:58:19 GMT+0900 (GMT+09:00), pid=7516, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=41107456, heapTotal=32227328, heapUsed=15564456, external=83183, loadavg=[0, 0, 0], uptime=13815, trace=[column=15, file=internal/modules/cjs/loader.js, function=Module._resolveFilename, line=580, method=_resolveFilename, native=false, column=25, file=internal/modules/cjs/loader.js, function=Module._load, line=506, method=_load, native=false, column=17, file=internal/modules/cjs/loader.js, function=Module.require, line=636, method=require, native=false, column=18, file=internal/modules/cjs/helpers.js, function=require, line=20, method=null, native=false, column=16, file=5)\apiApp.js, function=apiApp.initHttpServer (C:\project\working\wsmw (4), line=210, method=initHttpServer (C:\project\working\wsmw (4), native=false, column=7, file=5)\apiApp.js, function=apiApp.onReady (C:\project\working\wsmw (4), line=34, method=onReady (C:\project\working\wsmw (4), native=false, column=5, file=5)\openApiServer.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=5, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false], stack=[Error: Cannot find module 'connect',     at Function.Module._resolveFilename (internal/modules/cjs/loader.js:580:15),     at Function.Module._load (internal/modules/cjs/loader.js:506:25),     at Module.require (internal/modules/cjs/loader.js:636:17),     at require (internal/modules/cjs/helpers.js:20:18),     at apiApp.initHttpServer (C:\project\working\wsmw (4) (5)\apiApp.js:210:16),     at apiApp.onReady (C:\project\working\wsmw (4) (5)\apiApp.js:34:7),     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\openApiServer.js:5:5),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32)]
