2019-01-16 16:47:07.877 +0900 - error: uncaughtException: TextDecoder is not defined date=Wed Jan 16 2019 16:47:07 GMT+0900 (GMT+09:00), pid=7556, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=92393472, heapTotal=67891200, heapUsed=34619384, external=4248120, loadavg=[0, 0, 0], uptime=26752, trace=[column=42, file=5)\tcpClient.js, function=Socket.net.connect (C:\project\working\wsmw (4), line=24, method=connect (C:\project\working\wsmw (4), native=false, column=13, file=events.js, function=Object.onceWrapper, line=273, method=onceWrapper, native=false, column=15, file=events.js, function=Socket.emit, line=187, method=emit, native=false, column=10, file=net.js, function=TCPConnectWrap.afterConnect [as oncomplete], line=1099, method=afterConnect [as oncomplete], native=false], stack=[ReferenceError: TextDecoder is not defined,     at Socket.net.connect (C:\project\working\wsmw (4) (5)\tcpClient.js:24:42),     at Object.onceWrapper (events.js:273:13),     at Socket.emit (events.js:187:15),     at TCPConnectWrap.afterConnect [as oncomplete] (net.js:1099:10)]
2019-01-16 16:50:24.494 +0900 - error: uncaughtException: apiApp is not defined date=Wed Jan 16 2019 16:50:24 GMT+0900 (GMT+09:00), pid=7040, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=34025472, heapTotal=19644416, heapUsed=12128296, external=448609, loadavg=[0, 0, 0], uptime=26948, trace=[column=1, file=5)\tcpClient.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=51, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false, column=12, file=internal/modules/cjs/loader.js, function=tryModuleLoad, line=537, method=null, native=false, column=3, file=internal/modules/cjs/loader.js, function=Module._load, line=529, method=_load, native=false, column=17, file=internal/modules/cjs/loader.js, function=Module.require, line=636, method=require, native=false, column=18, file=internal/modules/cjs/helpers.js, function=require, line=20, method=null, native=false, column=19, file=5)\apiApp.js, function=apiApp.initHttpServer (C:\project\working\wsmw (4), line=61, method=initHttpServer (C:\project\working\wsmw (4), native=false, column=7, file=5)\apiApp.js, function=apiApp.onReady (C:\project\working\wsmw (4), line=34, method=onReady (C:\project\working\wsmw (4), native=false], stack=[ReferenceError: apiApp is not defined,     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\tcpClient.js:51:1),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32),     at tryModuleLoad (internal/modules/cjs/loader.js:537:12),     at Function.Module._load (internal/modules/cjs/loader.js:529:3),     at Module.require (internal/modules/cjs/loader.js:636:17),     at require (internal/modules/cjs/helpers.js:20:18),     at apiApp.initHttpServer (C:\project\working\wsmw (4) (5)\apiApp.js:61:19),     at apiApp.onReady (C:\project\working\wsmw (4) (5)\apiApp.js:34:7)]
2019-01-16 16:50:40.636 +0900 - error: uncaughtException: Unexpected token = date=Wed Jan 16 2019 16:50:40 GMT+0900 (GMT+09:00), pid=7144, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=34082816, heapTotal=19644416, heapUsed=12150512, external=454581, loadavg=[0, 0, 0], uptime=26964, trace=[column=7, file=vm.js, function=new Script, line=79, method=null, native=false, column=10, file=vm.js, function=createScript, line=251, method=null, native=false, column=10, file=vm.js, function=Object.runInThisContext, line=303, method=runInThisContext, native=false, column=28, file=internal/modules/cjs/loader.js, function=Module._compile, line=656, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false, column=12, file=internal/modules/cjs/loader.js, function=tryModuleLoad, line=537, method=null, native=false, column=3, file=internal/modules/cjs/loader.js, function=Module._load, line=529, method=_load, native=false, column=17, file=internal/modules/cjs/loader.js, function=Module.require, line=636, method=require, native=false, column=18, file=internal/modules/cjs/helpers.js, function=require, line=20, method=null, native=false], stack=[C:\project\working\wsmw (4) (5)\tcpClient.js:51, function Utf8ArrayToStr = function(array),                         ^, , SyntaxError: Unexpected token =,     at new Script (vm.js:79:7),     at createScript (vm.js:251:10),     at Object.runInThisContext (vm.js:303:10),     at Module._compile (internal/modules/cjs/loader.js:656:28),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32),     at tryModuleLoad (internal/modules/cjs/loader.js:537:12),     at Function.Module._load (internal/modules/cjs/loader.js:529:3),     at Module.require (internal/modules/cjs/loader.js:636:17),     at require (internal/modules/cjs/helpers.js:20:18)]
2019-01-16 19:25:27.124 +0900 - error: uncaughtException: Cannot read property 'errMsg' of undefined date=Wed Jan 16 2019 19:25:27 GMT+0900 (GMT+09:00), pid=8780, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=94855168, heapTotal=69464064, heapUsed=28659784, external=6319371, loadavg=[0, 0, 0], uptime=35591, trace=[column=39, file=5)\src\tr101.js, function=C:\project\working\wsmw (4), line=81, method=null, native=false, column=2, file=5)\lib\KVQueryManager.js, function=KVQueryManager.QueryManager.queryProcess (C:\project\working\wsmw (4), line=779, method=queryProcess (C:\project\working\wsmw (4), native=false, column=9, file=5)\lib\KVQueryManager.js, function=KVQueryManager.onReceived (C:\project\working\wsmw (4), line=1683, method=onReceived (C:\project\working\wsmw (4), native=false, column=8, file=5)\lib\KVQueryManager.js, function=KVQueryManager.onPreReceived (C:\project\working\wsmw (4), line=1645, method=onPreReceived (C:\project\working\wsmw (4), native=false, column=36, file=5)\src\tr101.js, function=C:\project\working\wsmw (4), line=77, method=null, native=false, column=9, file=5)\tcpClient.js, function=Socket.client.on (C:\project\working\wsmw (4), line=38, method=on (C:\project\working\wsmw (4), native=false, column=13, file=events.js, function=Socket.emit, line=182, method=emit, native=false, column=12, file=_stream_readable.js, function=addChunk, line=283, method=null, native=false, column=11, file=_stream_readable.js, function=readableAddChunk, line=264, method=null, native=false, column=10, file=_stream_readable.js, function=Socket.Readable.push, line=219, method=push, native=false], stack=[TypeError: Cannot read property 'errMsg' of undefined,     at C:\project\working\wsmw (4) (5)\src\tr101.js:81:39,     at KVQueryManager.QueryManager.queryProcess (C:\project\working\wsmw (4) (5)\lib\KVQueryManager.js:779:2),     at KVQueryManager.onReceived (C:\project\working\wsmw (4) (5)\lib\KVQueryManager.js:1683:9),     at KVQueryManager.onPreReceived (C:\project\working\wsmw (4) (5)\lib\KVQueryManager.js:1645:8),     at C:\project\working\wsmw (4) (5)\src\tr101.js:77:36,     at Socket.client.on (C:\project\working\wsmw (4) (5)\tcpClient.js:38:9),     at Socket.emit (events.js:182:13),     at addChunk (_stream_readable.js:283:12),     at readableAddChunk (_stream_readable.js:264:11),     at Socket.Readable.push (_stream_readable.js:219:10)]
2019-01-16 19:25:59.291 +0900 - error: uncaughtException: Cannot read property 'errMsg' of undefined date=Wed Jan 16 2019 19:25:59 GMT+0900 (GMT+09:00), pid=8628, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=95592448, heapTotal=69988352, heapUsed=28535520, external=6319415, loadavg=[0, 0, 0], uptime=35623, trace=[column=39, file=5)\src\tr101.js, function=C:\project\working\wsmw (4), line=81, method=null, native=false, column=2, file=5)\lib\KVQueryManager.js, function=KVQueryManager.QueryManager.queryProcess (C:\project\working\wsmw (4), line=779, method=queryProcess (C:\project\working\wsmw (4), native=false, column=9, file=5)\lib\KVQueryManager.js, function=KVQueryManager.onReceived (C:\project\working\wsmw (4), line=1683, method=onReceived (C:\project\working\wsmw (4), native=false, column=8, file=5)\lib\KVQueryManager.js, function=KVQueryManager.onPreReceived (C:\project\working\wsmw (4), line=1645, method=onPreReceived (C:\project\working\wsmw (4), native=false, column=36, file=5)\src\tr101.js, function=C:\project\working\wsmw (4), line=77, method=null, native=false, column=9, file=5)\tcpClient.js, function=Socket.client.on (C:\project\working\wsmw (4), line=38, method=on (C:\project\working\wsmw (4), native=false, column=13, file=events.js, function=Socket.emit, line=182, method=emit, native=false, column=12, file=_stream_readable.js, function=addChunk, line=283, method=null, native=false, column=11, file=_stream_readable.js, function=readableAddChunk, line=264, method=null, native=false, column=10, file=_stream_readable.js, function=Socket.Readable.push, line=219, method=push, native=false], stack=[TypeError: Cannot read property 'errMsg' of undefined,     at C:\project\working\wsmw (4) (5)\src\tr101.js:81:39,     at KVQueryManager.QueryManager.queryProcess (C:\project\working\wsmw (4) (5)\lib\KVQueryManager.js:779:2),     at KVQueryManager.onReceived (C:\project\working\wsmw (4) (5)\lib\KVQueryManager.js:1683:9),     at KVQueryManager.onPreReceived (C:\project\working\wsmw (4) (5)\lib\KVQueryManager.js:1645:8),     at C:\project\working\wsmw (4) (5)\src\tr101.js:77:36,     at Socket.client.on (C:\project\working\wsmw (4) (5)\tcpClient.js:38:9),     at Socket.emit (events.js:182:13),     at addChunk (_stream_readable.js:283:12),     at readableAddChunk (_stream_readable.js:264:11),     at Socket.Readable.push (_stream_readable.js:219:10)]
2019-01-16 19:26:44.287 +0900 - error: uncaughtException: Cannot read property 'errMsg' of undefined date=Wed Jan 16 2019 19:26:44 GMT+0900 (GMT+09:00), pid=9144, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=94822400, heapTotal=69464064, heapUsed=28632176, external=6319459, loadavg=[0, 0, 0], uptime=35668, trace=[column=39, file=5)\src\tr101.js, function=C:\project\working\wsmw (4), line=81, method=null, native=false, column=2, file=5)\lib\KVQueryManager.js, function=KVQueryManager.QueryManager.queryProcess (C:\project\working\wsmw (4), line=779, method=queryProcess (C:\project\working\wsmw (4), native=false, column=9, file=5)\lib\KVQueryManager.js, function=KVQueryManager.onReceived (C:\project\working\wsmw (4), line=1683, method=onReceived (C:\project\working\wsmw (4), native=false, column=8, file=5)\lib\KVQueryManager.js, function=KVQueryManager.onPreReceived (C:\project\working\wsmw (4), line=1645, method=onPreReceived (C:\project\working\wsmw (4), native=false, column=36, file=5)\src\tr101.js, function=C:\project\working\wsmw (4), line=77, method=null, native=false, column=9, file=5)\tcpClient.js, function=Socket.client.on (C:\project\working\wsmw (4), line=38, method=on (C:\project\working\wsmw (4), native=false, column=13, file=events.js, function=Socket.emit, line=182, method=emit, native=false, column=12, file=_stream_readable.js, function=addChunk, line=283, method=null, native=false, column=11, file=_stream_readable.js, function=readableAddChunk, line=264, method=null, native=false, column=10, file=_stream_readable.js, function=Socket.Readable.push, line=219, method=push, native=false], stack=[TypeError: Cannot read property 'errMsg' of undefined,     at C:\project\working\wsmw (4) (5)\src\tr101.js:81:39,     at KVQueryManager.QueryManager.queryProcess (C:\project\working\wsmw (4) (5)\lib\KVQueryManager.js:779:2),     at KVQueryManager.onReceived (C:\project\working\wsmw (4) (5)\lib\KVQueryManager.js:1683:9),     at KVQueryManager.onPreReceived (C:\project\working\wsmw (4) (5)\lib\KVQueryManager.js:1645:8),     at C:\project\working\wsmw (4) (5)\src\tr101.js:77:36,     at Socket.client.on (C:\project\working\wsmw (4) (5)\tcpClient.js:38:9),     at Socket.emit (events.js:182:13),     at addChunk (_stream_readable.js:283:12),     at readableAddChunk (_stream_readable.js:264:11),     at Socket.Readable.push (_stream_readable.js:219:10)]
2019-01-16 19:27:37.900 +0900 - error: uncaughtException: Cannot read property 'errMsg' of undefined date=Wed Jan 16 2019 19:27:37 GMT+0900 (GMT+09:00), pid=8980, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=95088640, heapTotal=69988352, heapUsed=28689472, external=6319459, loadavg=[0, 0, 0], uptime=35721, trace=[column=54, file=5)\src\tr101.js, function=C:\project\working\wsmw (4), line=82, method=null, native=false, column=2, file=5)\lib\KVQueryManager.js, function=KVQueryManager.QueryManager.queryProcess (C:\project\working\wsmw (4), line=779, method=queryProcess (C:\project\working\wsmw (4), native=false, column=9, file=5)\lib\KVQueryManager.js, function=KVQueryManager.onReceived (C:\project\working\wsmw (4), line=1683, method=onReceived (C:\project\working\wsmw (4), native=false, column=8, file=5)\lib\KVQueryManager.js, function=KVQueryManager.onPreReceived (C:\project\working\wsmw (4), line=1645, method=onPreReceived (C:\project\working\wsmw (4), native=false, column=36, file=5)\src\tr101.js, function=C:\project\working\wsmw (4), line=77, method=null, native=false, column=9, file=5)\tcpClient.js, function=Socket.client.on (C:\project\working\wsmw (4), line=38, method=on (C:\project\working\wsmw (4), native=false, column=13, file=events.js, function=Socket.emit, line=182, method=emit, native=false, column=12, file=_stream_readable.js, function=addChunk, line=283, method=null, native=false, column=11, file=_stream_readable.js, function=readableAddChunk, line=264, method=null, native=false, column=10, file=_stream_readable.js, function=Socket.Readable.push, line=219, method=push, native=false], stack=[TypeError: Cannot read property 'errMsg' of undefined,     at C:\project\working\wsmw (4) (5)\src\tr101.js:82:54,     at KVQueryManager.QueryManager.queryProcess (C:\project\working\wsmw (4) (5)\lib\KVQueryManager.js:779:2),     at KVQueryManager.onReceived (C:\project\working\wsmw (4) (5)\lib\KVQueryManager.js:1683:9),     at KVQueryManager.onPreReceived (C:\project\working\wsmw (4) (5)\lib\KVQueryManager.js:1645:8),     at C:\project\working\wsmw (4) (5)\src\tr101.js:77:36,     at Socket.client.on (C:\project\working\wsmw (4) (5)\tcpClient.js:38:9),     at Socket.emit (events.js:182:13),     at addChunk (_stream_readable.js:283:12),     at readableAddChunk (_stream_readable.js:264:11),     at Socket.Readable.push (_stream_readable.js:219:10)]
2019-01-16 19:31:38.382 +0900 - error: uncaughtException: Cannot read property 'errMsg' of undefined date=Wed Jan 16 2019 19:31:38 GMT+0900 (GMT+09:00), pid=6564, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=94797824, heapTotal=69464064, heapUsed=28635032, external=6319527, loadavg=[0, 0, 0], uptime=35962, trace=[column=53, file=5)\src\tr101.js, function=C:\project\working\wsmw (4), line=83, method=null, native=false, column=2, file=5)\lib\KVQueryManager.js, function=KVQueryManager.QueryManager.queryProcess (C:\project\working\wsmw (4), line=779, method=queryProcess (C:\project\working\wsmw (4), native=false, column=9, file=5)\lib\KVQueryManager.js, function=KVQueryManager.onReceived (C:\project\working\wsmw (4), line=1683, method=onReceived (C:\project\working\wsmw (4), native=false, column=8, file=5)\lib\KVQueryManager.js, function=KVQueryManager.onPreReceived (C:\project\working\wsmw (4), line=1645, method=onPreReceived (C:\project\working\wsmw (4), native=false, column=36, file=5)\src\tr101.js, function=C:\project\working\wsmw (4), line=77, method=null, native=false, column=9, file=5)\tcpClient.js, function=Socket.client.on (C:\project\working\wsmw (4), line=38, method=on (C:\project\working\wsmw (4), native=false, column=13, file=events.js, function=Socket.emit, line=182, method=emit, native=false, column=12, file=_stream_readable.js, function=addChunk, line=283, method=null, native=false, column=11, file=_stream_readable.js, function=readableAddChunk, line=264, method=null, native=false, column=10, file=_stream_readable.js, function=Socket.Readable.push, line=219, method=push, native=false], stack=[TypeError: Cannot read property 'errMsg' of undefined,     at C:\project\working\wsmw (4) (5)\src\tr101.js:83:53,     at KVQueryManager.QueryManager.queryProcess (C:\project\working\wsmw (4) (5)\lib\KVQueryManager.js:779:2),     at KVQueryManager.onReceived (C:\project\working\wsmw (4) (5)\lib\KVQueryManager.js:1683:9),     at KVQueryManager.onPreReceived (C:\project\working\wsmw (4) (5)\lib\KVQueryManager.js:1645:8),     at C:\project\working\wsmw (4) (5)\src\tr101.js:77:36,     at Socket.client.on (C:\project\working\wsmw (4) (5)\tcpClient.js:38:9),     at Socket.emit (events.js:182:13),     at addChunk (_stream_readable.js:283:12),     at readableAddChunk (_stream_readable.js:264:11),     at Socket.Readable.push (_stream_readable.js:219:10)]
2019-01-16 19:38:57.309 +0900 - error: uncaughtException: errCode is not defined date=Wed Jan 16 2019 19:38:57 GMT+0900 (GMT+09:00), pid=5440, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=94789632, heapTotal=69464064, heapUsed=28659680, external=6319396, loadavg=[0, 0, 0], uptime=36401, trace=[column=65, file=5)\src\tr101.js, function=C:\project\working\wsmw (4), line=79, method=null, native=false, column=2, file=5)\lib\KVQueryManager.js, function=KVQueryManager.QueryManager.queryProcess (C:\project\working\wsmw (4), line=779, method=queryProcess (C:\project\working\wsmw (4), native=false, column=9, file=5)\lib\KVQueryManager.js, function=KVQueryManager.onReceived (C:\project\working\wsmw (4), line=1683, method=onReceived (C:\project\working\wsmw (4), native=false, column=8, file=5)\lib\KVQueryManager.js, function=KVQueryManager.onPreReceived (C:\project\working\wsmw (4), line=1645, method=onPreReceived (C:\project\working\wsmw (4), native=false, column=36, file=5)\src\tr101.js, function=C:\project\working\wsmw (4), line=77, method=null, native=false, column=9, file=5)\tcpClient.js, function=Socket.client.on (C:\project\working\wsmw (4), line=38, method=on (C:\project\working\wsmw (4), native=false, column=13, file=events.js, function=Socket.emit, line=182, method=emit, native=false, column=12, file=_stream_readable.js, function=addChunk, line=283, method=null, native=false, column=11, file=_stream_readable.js, function=readableAddChunk, line=264, method=null, native=false, column=10, file=_stream_readable.js, function=Socket.Readable.push, line=219, method=push, native=false], stack=[ReferenceError: errCode is not defined,     at C:\project\working\wsmw (4) (5)\src\tr101.js:79:65,     at KVQueryManager.QueryManager.queryProcess (C:\project\working\wsmw (4) (5)\lib\KVQueryManager.js:779:2),     at KVQueryManager.onReceived (C:\project\working\wsmw (4) (5)\lib\KVQueryManager.js:1683:9),     at KVQueryManager.onPreReceived (C:\project\working\wsmw (4) (5)\lib\KVQueryManager.js:1645:8),     at C:\project\working\wsmw (4) (5)\src\tr101.js:77:36,     at Socket.client.on (C:\project\working\wsmw (4) (5)\tcpClient.js:38:9),     at Socket.emit (events.js:182:13),     at addChunk (_stream_readable.js:283:12),     at readableAddChunk (_stream_readable.js:264:11),     at Socket.Readable.push (_stream_readable.js:219:10)]
2019-01-16 19:38:57.323 +0900 - error: uncaughtException: errCode is not defined date=Wed Jan 16 2019 19:38:57 GMT+0900 (GMT+09:00), pid=5440, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=95404032, heapTotal=69464064, heapUsed=28906944, external=6319530, loadavg=[0, 0, 0], uptime=36401, trace=[column=65, file=5)\src\tr101.js, function=C:\project\working\wsmw (4), line=79, method=null, native=false, column=4, file=5)\lib\KVQueryManager.js, function=KVQueryManager.onReceived (C:\project\working\wsmw (4), line=1702, method=onReceived (C:\project\working\wsmw (4), native=false, column=8, file=5)\lib\KVQueryManager.js, function=KVQueryManager.onPreReceived (C:\project\working\wsmw (4), line=1645, method=onPreReceived (C:\project\working\wsmw (4), native=false, column=36, file=5)\src\tr101.js, function=C:\project\working\wsmw (4), line=77, method=null, native=false, column=9, file=5)\tcpClient.js, function=Socket.client.on (C:\project\working\wsmw (4), line=38, method=on (C:\project\working\wsmw (4), native=false, column=13, file=events.js, function=Socket.emit, line=182, method=emit, native=false, column=12, file=_stream_readable.js, function=addChunk, line=283, method=null, native=false, column=11, file=_stream_readable.js, function=readableAddChunk, line=264, method=null, native=false, column=10, file=_stream_readable.js, function=Socket.Readable.push, line=219, method=push, native=false, column=17, file=internal/stream_base_commons.js, function=TCP.onStreamRead [as onread], line=94, method=onStreamRead [as onread], native=false], stack=[ReferenceError: errCode is not defined,     at C:\project\working\wsmw (4) (5)\src\tr101.js:79:65,     at KVQueryManager.onReceived (C:\project\working\wsmw (4) (5)\lib\KVQueryManager.js:1702:4),     at KVQueryManager.onPreReceived (C:\project\working\wsmw (4) (5)\lib\KVQueryManager.js:1645:8),     at C:\project\working\wsmw (4) (5)\src\tr101.js:77:36,     at Socket.client.on (C:\project\working\wsmw (4) (5)\tcpClient.js:38:9),     at Socket.emit (events.js:182:13),     at addChunk (_stream_readable.js:283:12),     at readableAddChunk (_stream_readable.js:264:11),     at Socket.Readable.push (_stream_readable.js:219:10),     at TCP.onStreamRead [as onread] (internal/stream_base_commons.js:94:17)]
2019-01-16 20:10:30.181 +0900 - error: uncaughtException: Cannot read property 'toString' of undefined date=Wed Jan 16 2019 20:10:30 GMT+0900 (GMT+09:00), pid=7820, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=87121920, heapTotal=69464064, heapUsed=28528072, external=6319419, loadavg=[0, 0, 0], uptime=38294, trace=[column=39, file=5)\src\tr101.js, function=C:\project\working\wsmw (4), line=83, method=null, native=false, column=2, file=5)\lib\KVQueryManager.js, function=KVQueryManager.QueryManager.queryProcess (C:\project\working\wsmw (4), line=779, method=queryProcess (C:\project\working\wsmw (4), native=false, column=9, file=5)\lib\KVQueryManager.js, function=KVQueryManager.onReceived (C:\project\working\wsmw (4), line=1683, method=onReceived (C:\project\working\wsmw (4), native=false, column=8, file=5)\lib\KVQueryManager.js, function=KVQueryManager.onPreReceived (C:\project\working\wsmw (4), line=1645, method=onPreReceived (C:\project\working\wsmw (4), native=false, column=36, file=5)\src\tr101.js, function=C:\project\working\wsmw (4), line=77, method=null, native=false, column=9, file=5)\tcpClient.js, function=Socket.client.on (C:\project\working\wsmw (4), line=38, method=on (C:\project\working\wsmw (4), native=false, column=13, file=events.js, function=Socket.emit, line=182, method=emit, native=false, column=12, file=_stream_readable.js, function=addChunk, line=283, method=null, native=false, column=11, file=_stream_readable.js, function=readableAddChunk, line=264, method=null, native=false, column=10, file=_stream_readable.js, function=Socket.Readable.push, line=219, method=push, native=false], stack=[TypeError: Cannot read property 'toString' of undefined,     at C:\project\working\wsmw (4) (5)\src\tr101.js:83:39,     at KVQueryManager.QueryManager.queryProcess (C:\project\working\wsmw (4) (5)\lib\KVQueryManager.js:779:2),     at KVQueryManager.onReceived (C:\project\working\wsmw (4) (5)\lib\KVQueryManager.js:1683:9),     at KVQueryManager.onPreReceived (C:\project\working\wsmw (4) (5)\lib\KVQueryManager.js:1645:8),     at C:\project\working\wsmw (4) (5)\src\tr101.js:77:36,     at Socket.client.on (C:\project\working\wsmw (4) (5)\tcpClient.js:38:9),     at Socket.emit (events.js:182:13),     at addChunk (_stream_readable.js:283:12),     at readableAddChunk (_stream_readable.js:264:11),     at Socket.Readable.push (_stream_readable.js:219:10)]
2019-01-16 20:11:07.328 +0900 - error: uncaughtException: Cannot read property 'toString' of undefined date=Wed Jan 16 2019 20:11:07 GMT+0900 (GMT+09:00), pid=7856, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=95780864, heapTotal=69988352, heapUsed=28669400, external=6319523, loadavg=[0, 0, 0], uptime=38331, trace=[column=54, file=5)\src\tr101.js, function=C:\project\working\wsmw (4), line=83, method=null, native=false, column=2, file=5)\lib\KVQueryManager.js, function=KVQueryManager.QueryManager.queryProcess (C:\project\working\wsmw (4), line=779, method=queryProcess (C:\project\working\wsmw (4), native=false, column=9, file=5)\lib\KVQueryManager.js, function=KVQueryManager.onReceived (C:\project\working\wsmw (4), line=1683, method=onReceived (C:\project\working\wsmw (4), native=false, column=8, file=5)\lib\KVQueryManager.js, function=KVQueryManager.onPreReceived (C:\project\working\wsmw (4), line=1645, method=onPreReceived (C:\project\working\wsmw (4), native=false, column=36, file=5)\src\tr101.js, function=C:\project\working\wsmw (4), line=77, method=null, native=false, column=9, file=5)\tcpClient.js, function=Socket.client.on (C:\project\working\wsmw (4), line=38, method=on (C:\project\working\wsmw (4), native=false, column=13, file=events.js, function=Socket.emit, line=182, method=emit, native=false, column=12, file=_stream_readable.js, function=addChunk, line=283, method=null, native=false, column=11, file=_stream_readable.js, function=readableAddChunk, line=264, method=null, native=false, column=10, file=_stream_readable.js, function=Socket.Readable.push, line=219, method=push, native=false], stack=[TypeError: Cannot read property 'toString' of undefined,     at C:\project\working\wsmw (4) (5)\src\tr101.js:83:54,     at KVQueryManager.QueryManager.queryProcess (C:\project\working\wsmw (4) (5)\lib\KVQueryManager.js:779:2),     at KVQueryManager.onReceived (C:\project\working\wsmw (4) (5)\lib\KVQueryManager.js:1683:9),     at KVQueryManager.onPreReceived (C:\project\working\wsmw (4) (5)\lib\KVQueryManager.js:1645:8),     at C:\project\working\wsmw (4) (5)\src\tr101.js:77:36,     at Socket.client.on (C:\project\working\wsmw (4) (5)\tcpClient.js:38:9),     at Socket.emit (events.js:182:13),     at addChunk (_stream_readable.js:283:12),     at readableAddChunk (_stream_readable.js:264:11),     at Socket.Readable.push (_stream_readable.js:219:10)]
