2019-01-22 10:08:15.164 +0900 - error: uncaughtException: Cannot read property 'logger' of undefined date=Tue Jan 22 2019 10:08:15 GMT+0900 (GMT+09:00), pid=3160, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=28774400, heapTotal=12304384, heapUsed=7894848, external=236702, loadavg=[0, 0, 0], uptime=4116, trace=[column=12, file=5)\apiApp.js, function=new apiApp (C:\project\working\wsmw (4), line=23, method=null, native=false, column=9, file=5)\apiApp.js, function=Object.module.exports.createApp (C:\project\working\wsmw (4), line=6, method=createApp (C:\project\working\wsmw (4), native=false, column=31, file=5)\openApiServer.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=3, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false, column=12, file=internal/modules/cjs/loader.js, function=tryModuleLoad, line=537, method=null, native=false, column=3, file=internal/modules/cjs/loader.js, function=Module._load, line=529, method=_load, native=false, column=12, file=internal/modules/cjs/loader.js, function=Module.runMain, line=741, method=runMain, native=false, column=19, file=internal/bootstrap/node.js, function=startup, line=285, method=null, native=false], stack=[TypeError: Cannot read property 'logger' of undefined,     at new apiApp (C:\project\working\wsmw (4) (5)\apiApp.js:23:12),     at Object.module.exports.createApp (C:\project\working\wsmw (4) (5)\apiApp.js:6:9),     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\openApiServer.js:3:31),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32),     at tryModuleLoad (internal/modules/cjs/loader.js:537:12),     at Function.Module._load (internal/modules/cjs/loader.js:529:3),     at Function.Module.runMain (internal/modules/cjs/loader.js:741:12),     at startup (internal/bootstrap/node.js:285:19)]
2019-01-22 16:40:30.846 +0900 - error: uncaughtException: Identifier 'redis' has already been declared date=Tue Jan 22 2019 16:40:30 GMT+0900 (GMT+09:00), pid=8620, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=28774400, heapTotal=12304384, heapUsed=7897176, external=236702, loadavg=[0, 0, 0], uptime=20289, trace=[column=7, file=5)\apiApp.js, function=apiApp.onReady (C:\project\working\wsmw (4), line=35, method=onReady (C:\project\working\wsmw (4), native=false, column=5, file=5)\openApiServer.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=5, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false, column=12, file=internal/modules/cjs/loader.js, function=tryModuleLoad, line=537, method=null, native=false, column=3, file=internal/modules/cjs/loader.js, function=Module._load, line=529, method=_load, native=false, column=12, file=internal/modules/cjs/loader.js, function=Module.runMain, line=741, method=runMain, native=false, column=19, file=internal/bootstrap/node.js, function=startup, line=285, method=null, native=false, column=3, file=internal/bootstrap/node.js, function=bootstrapNodeJSCore, line=739, method=null, native=false], stack=[SyntaxError: Identifier 'redis' has already been declared,     at apiApp.onReady (C:\project\working\wsmw (4) (5)\apiApp.js:35:7),     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\openApiServer.js:5:5),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32),     at tryModuleLoad (internal/modules/cjs/loader.js:537:12),     at Function.Module._load (internal/modules/cjs/loader.js:529:3),     at Function.Module.runMain (internal/modules/cjs/loader.js:741:12),     at startup (internal/bootstrap/node.js:285:19),     at bootstrapNodeJSCore (internal/bootstrap/node.js:739:3)]
2019-01-22 16:41:45.302 +0900 - error: uncaughtException: Identifier 'redis' has already been declared date=Tue Jan 22 2019 16:41:45 GMT+0900 (GMT+09:00), pid=8488, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=28729344, heapTotal=12304384, heapUsed=7896920, external=236702, loadavg=[0, 0, 0], uptime=20363, trace=[column=7, file=5)\apiApp.js, function=apiApp.onReady (C:\project\working\wsmw (4), line=35, method=onReady (C:\project\working\wsmw (4), native=false, column=5, file=5)\openApiServer.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=5, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false, column=12, file=internal/modules/cjs/loader.js, function=tryModuleLoad, line=537, method=null, native=false, column=3, file=internal/modules/cjs/loader.js, function=Module._load, line=529, method=_load, native=false, column=12, file=internal/modules/cjs/loader.js, function=Module.runMain, line=741, method=runMain, native=false, column=19, file=internal/bootstrap/node.js, function=startup, line=285, method=null, native=false, column=3, file=internal/bootstrap/node.js, function=bootstrapNodeJSCore, line=739, method=null, native=false], stack=[SyntaxError: Identifier 'redis' has already been declared,     at apiApp.onReady (C:\project\working\wsmw (4) (5)\apiApp.js:35:7),     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\openApiServer.js:5:5),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32),     at tryModuleLoad (internal/modules/cjs/loader.js:537:12),     at Function.Module._load (internal/modules/cjs/loader.js:529:3),     at Function.Module.runMain (internal/modules/cjs/loader.js:741:12),     at startup (internal/bootstrap/node.js:285:19),     at bootstrapNodeJSCore (internal/bootstrap/node.js:739:3)]
2019-01-22 16:41:46.977 +0900 - error: uncaughtException: Identifier 'redis' has already been declared date=Tue Jan 22 2019 16:41:46 GMT+0900 (GMT+09:00), pid=6508, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=28704768, heapTotal=12304384, heapUsed=7897384, external=236702, loadavg=[0, 0, 0], uptime=20365, trace=[column=7, file=5)\apiApp.js, function=apiApp.onReady (C:\project\working\wsmw (4), line=35, method=onReady (C:\project\working\wsmw (4), native=false, column=5, file=5)\openApiServer.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=5, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false, column=12, file=internal/modules/cjs/loader.js, function=tryModuleLoad, line=537, method=null, native=false, column=3, file=internal/modules/cjs/loader.js, function=Module._load, line=529, method=_load, native=false, column=12, file=internal/modules/cjs/loader.js, function=Module.runMain, line=741, method=runMain, native=false, column=19, file=internal/bootstrap/node.js, function=startup, line=285, method=null, native=false, column=3, file=internal/bootstrap/node.js, function=bootstrapNodeJSCore, line=739, method=null, native=false], stack=[SyntaxError: Identifier 'redis' has already been declared,     at apiApp.onReady (C:\project\working\wsmw (4) (5)\apiApp.js:35:7),     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\openApiServer.js:5:5),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32),     at tryModuleLoad (internal/modules/cjs/loader.js:537:12),     at Function.Module._load (internal/modules/cjs/loader.js:529:3),     at Function.Module.runMain (internal/modules/cjs/loader.js:741:12),     at startup (internal/bootstrap/node.js:285:19),     at bootstrapNodeJSCore (internal/bootstrap/node.js:739:3)]
2019-01-22 16:41:50.761 +0900 - error: uncaughtException: Identifier 'redis' has already been declared date=Tue Jan 22 2019 16:41:50 GMT+0900 (GMT+09:00), pid=8908, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=28749824, heapTotal=12304384, heapUsed=7897392, external=236702, loadavg=[0, 0, 0], uptime=20369, trace=[column=7, file=5)\apiApp.js, function=apiApp.onReady (C:\project\working\wsmw (4), line=35, method=onReady (C:\project\working\wsmw (4), native=false, column=5, file=5)\openApiServer.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=5, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false, column=12, file=internal/modules/cjs/loader.js, function=tryModuleLoad, line=537, method=null, native=false, column=3, file=internal/modules/cjs/loader.js, function=Module._load, line=529, method=_load, native=false, column=12, file=internal/modules/cjs/loader.js, function=Module.runMain, line=741, method=runMain, native=false, column=19, file=internal/bootstrap/node.js, function=startup, line=285, method=null, native=false, column=3, file=internal/bootstrap/node.js, function=bootstrapNodeJSCore, line=739, method=null, native=false], stack=[SyntaxError: Identifier 'redis' has already been declared,     at apiApp.onReady (C:\project\working\wsmw (4) (5)\apiApp.js:35:7),     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\openApiServer.js:5:5),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32),     at tryModuleLoad (internal/modules/cjs/loader.js:537:12),     at Function.Module._load (internal/modules/cjs/loader.js:529:3),     at Function.Module.runMain (internal/modules/cjs/loader.js:741:12),     at startup (internal/bootstrap/node.js:285:19),     at bootstrapNodeJSCore (internal/bootstrap/node.js:739:3)]
2019-01-22 16:44:30.287 +0900 - error: uncaughtException: Identifier 'redis' has already been declared date=Tue Jan 22 2019 16:44:30 GMT+0900 (GMT+09:00), pid=7460, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=28819456, heapTotal=12304384, heapUsed=7897048, external=236702, loadavg=[0, 0, 0], uptime=20528, trace=[column=7, file=5)\apiApp.js, function=apiApp.onReady (C:\project\working\wsmw (4), line=35, method=onReady (C:\project\working\wsmw (4), native=false, column=5, file=5)\openApiServer.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=5, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false, column=12, file=internal/modules/cjs/loader.js, function=tryModuleLoad, line=537, method=null, native=false, column=3, file=internal/modules/cjs/loader.js, function=Module._load, line=529, method=_load, native=false, column=12, file=internal/modules/cjs/loader.js, function=Module.runMain, line=741, method=runMain, native=false, column=19, file=internal/bootstrap/node.js, function=startup, line=285, method=null, native=false, column=3, file=internal/bootstrap/node.js, function=bootstrapNodeJSCore, line=739, method=null, native=false], stack=[SyntaxError: Identifier 'redis' has already been declared,     at apiApp.onReady (C:\project\working\wsmw (4) (5)\apiApp.js:35:7),     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\openApiServer.js:5:5),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32),     at tryModuleLoad (internal/modules/cjs/loader.js:537:12),     at Function.Module._load (internal/modules/cjs/loader.js:529:3),     at Function.Module.runMain (internal/modules/cjs/loader.js:741:12),     at startup (internal/bootstrap/node.js:285:19),     at bootstrapNodeJSCore (internal/bootstrap/node.js:739:3)]
2019-01-22 16:44:33.710 +0900 - error: uncaughtException: Identifier 'redis' has already been declared date=Tue Jan 22 2019 16:44:33 GMT+0900 (GMT+09:00), pid=7220, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=29102080, heapTotal=13352960, heapUsed=6915496, external=26100, loadavg=[0, 0, 0], uptime=20532, trace=[column=7, file=5)\apiApp.js, function=apiApp.onReady (C:\project\working\wsmw (4), line=35, method=onReady (C:\project\working\wsmw (4), native=false, column=5, file=5)\openApiServer.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=5, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false, column=12, file=internal/modules/cjs/loader.js, function=tryModuleLoad, line=537, method=null, native=false, column=3, file=internal/modules/cjs/loader.js, function=Module._load, line=529, method=_load, native=false, column=12, file=internal/modules/cjs/loader.js, function=Module.runMain, line=741, method=runMain, native=false, column=19, file=internal/bootstrap/node.js, function=startup, line=285, method=null, native=false, column=3, file=internal/bootstrap/node.js, function=bootstrapNodeJSCore, line=739, method=null, native=false], stack=[SyntaxError: Identifier 'redis' has already been declared,     at apiApp.onReady (C:\project\working\wsmw (4) (5)\apiApp.js:35:7),     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\openApiServer.js:5:5),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32),     at tryModuleLoad (internal/modules/cjs/loader.js:537:12),     at Function.Module._load (internal/modules/cjs/loader.js:529:3),     at Function.Module.runMain (internal/modules/cjs/loader.js:741:12),     at startup (internal/bootstrap/node.js:285:19),     at bootstrapNodeJSCore (internal/bootstrap/node.js:739:3)]
2019-01-22 16:44:37.774 +0900 - error: uncaughtException: Identifier 'redis' has already been declared date=Tue Jan 22 2019 16:44:37 GMT+0900 (GMT+09:00), pid=8072, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=28778496, heapTotal=12304384, heapUsed=7897472, external=236702, loadavg=[0, 0, 0], uptime=20536, trace=[column=7, file=5)\apiApp.js, function=apiApp.onReady (C:\project\working\wsmw (4), line=35, method=onReady (C:\project\working\wsmw (4), native=false, column=5, file=5)\openApiServer.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=5, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false, column=12, file=internal/modules/cjs/loader.js, function=tryModuleLoad, line=537, method=null, native=false, column=3, file=internal/modules/cjs/loader.js, function=Module._load, line=529, method=_load, native=false, column=12, file=internal/modules/cjs/loader.js, function=Module.runMain, line=741, method=runMain, native=false, column=19, file=internal/bootstrap/node.js, function=startup, line=285, method=null, native=false, column=3, file=internal/bootstrap/node.js, function=bootstrapNodeJSCore, line=739, method=null, native=false], stack=[SyntaxError: Identifier 'redis' has already been declared,     at apiApp.onReady (C:\project\working\wsmw (4) (5)\apiApp.js:35:7),     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\openApiServer.js:5:5),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32),     at tryModuleLoad (internal/modules/cjs/loader.js:537:12),     at Function.Module._load (internal/modules/cjs/loader.js:529:3),     at Function.Module.runMain (internal/modules/cjs/loader.js:741:12),     at startup (internal/bootstrap/node.js:285:19),     at bootstrapNodeJSCore (internal/bootstrap/node.js:739:3)]
2019-01-22 16:44:56.228 +0900 - error: uncaughtException: Identifier 'redis' has already been declared date=Tue Jan 22 2019 16:44:56 GMT+0900 (GMT+09:00), pid=7500, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=28786688, heapTotal=12304384, heapUsed=7897480, external=236702, loadavg=[0, 0, 0], uptime=20554, trace=[column=7, file=5)\apiApp.js, function=apiApp.onReady (C:\project\working\wsmw (4), line=35, method=onReady (C:\project\working\wsmw (4), native=false, column=5, file=5)\openApiServer.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=5, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false, column=12, file=internal/modules/cjs/loader.js, function=tryModuleLoad, line=537, method=null, native=false, column=3, file=internal/modules/cjs/loader.js, function=Module._load, line=529, method=_load, native=false, column=12, file=internal/modules/cjs/loader.js, function=Module.runMain, line=741, method=runMain, native=false, column=19, file=internal/bootstrap/node.js, function=startup, line=285, method=null, native=false, column=3, file=internal/bootstrap/node.js, function=bootstrapNodeJSCore, line=739, method=null, native=false], stack=[SyntaxError: Identifier 'redis' has already been declared,     at apiApp.onReady (C:\project\working\wsmw (4) (5)\apiApp.js:35:7),     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\openApiServer.js:5:5),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32),     at tryModuleLoad (internal/modules/cjs/loader.js:537:12),     at Function.Module._load (internal/modules/cjs/loader.js:529:3),     at Function.Module.runMain (internal/modules/cjs/loader.js:741:12),     at startup (internal/bootstrap/node.js:285:19),     at bootstrapNodeJSCore (internal/bootstrap/node.js:739:3)]
2019-01-22 16:45:05.888 +0900 - error: uncaughtException: Identifier 'redis' has already been declared date=Tue Jan 22 2019 16:45:05 GMT+0900 (GMT+09:00), pid=7692, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=28782592, heapTotal=12304384, heapUsed=7897368, external=236702, loadavg=[0, 0, 0], uptime=20564, trace=[column=7, file=5)\apiApp.js, function=apiApp.onReady (C:\project\working\wsmw (4), line=35, method=onReady (C:\project\working\wsmw (4), native=false, column=5, file=5)\openApiServer.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=5, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false, column=12, file=internal/modules/cjs/loader.js, function=tryModuleLoad, line=537, method=null, native=false, column=3, file=internal/modules/cjs/loader.js, function=Module._load, line=529, method=_load, native=false, column=12, file=internal/modules/cjs/loader.js, function=Module.runMain, line=741, method=runMain, native=false, column=19, file=internal/bootstrap/node.js, function=startup, line=285, method=null, native=false, column=3, file=internal/bootstrap/node.js, function=bootstrapNodeJSCore, line=739, method=null, native=false], stack=[SyntaxError: Identifier 'redis' has already been declared,     at apiApp.onReady (C:\project\working\wsmw (4) (5)\apiApp.js:35:7),     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\openApiServer.js:5:5),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32),     at tryModuleLoad (internal/modules/cjs/loader.js:537:12),     at Function.Module._load (internal/modules/cjs/loader.js:529:3),     at Function.Module.runMain (internal/modules/cjs/loader.js:741:12),     at startup (internal/bootstrap/node.js:285:19),     at bootstrapNodeJSCore (internal/bootstrap/node.js:739:3)]
2019-01-22 16:45:11.337 +0900 - error: uncaughtException: redis.createClient is not a function date=Tue Jan 22 2019 16:45:11 GMT+0900 (GMT+09:00), pid=7596, uid=null, gid=null, cwd=C:\project\working\wsmw (4) (5), execPath=C:\Program Files\nodejs\node.exe, version=v10.13.0, argv=[C:\Program Files\nodejs\node.exe, C:\project\working\wsmw (4) (5)\openApiServer.js], rss=41209856, heapTotal=32227328, heapUsed=15346856, external=66038, loadavg=[0, 0, 0], uptime=20569, trace=[column=25, file=5)\apiApp.js, function=apiApp.initHttpServer (C:\project\working\wsmw (4), line=96, method=initHttpServer (C:\project\working\wsmw (4), native=false, column=7, file=5)\apiApp.js, function=apiApp.onReady (C:\project\working\wsmw (4), line=35, method=onReady (C:\project\working\wsmw (4), native=false, column=5, file=5)\openApiServer.js, function=Object.<anonymous> (C:\project\working\wsmw (4), line=5, method=<anonymous> (C:\project\working\wsmw (4), native=false, column=30, file=internal/modules/cjs/loader.js, function=Module._compile, line=688, method=_compile, native=false, column=10, file=internal/modules/cjs/loader.js, function=Module._extensions..js, line=699, method=.js, native=false, column=32, file=internal/modules/cjs/loader.js, function=Module.load, line=598, method=load, native=false, column=12, file=internal/modules/cjs/loader.js, function=tryModuleLoad, line=537, method=null, native=false, column=3, file=internal/modules/cjs/loader.js, function=Module._load, line=529, method=_load, native=false, column=12, file=internal/modules/cjs/loader.js, function=Module.runMain, line=741, method=runMain, native=false, column=19, file=internal/bootstrap/node.js, function=startup, line=285, method=null, native=false], stack=[TypeError: redis.createClient is not a function,     at apiApp.initHttpServer (C:\project\working\wsmw (4) (5)\apiApp.js:96:25),     at apiApp.onReady (C:\project\working\wsmw (4) (5)\apiApp.js:35:7),     at Object.<anonymous> (C:\project\working\wsmw (4) (5)\openApiServer.js:5:5),     at Module._compile (internal/modules/cjs/loader.js:688:30),     at Object.Module._extensions..js (internal/modules/cjs/loader.js:699:10),     at Module.load (internal/modules/cjs/loader.js:598:32),     at tryModuleLoad (internal/modules/cjs/loader.js:537:12),     at Function.Module._load (internal/modules/cjs/loader.js:529:3),     at Function.Module.runMain (internal/modules/cjs/loader.js:741:12),     at startup (internal/bootstrap/node.js:285:19)]
